"ARABIC,COMPUTER STUDIES,FRENCH. CODE: SS1006 | TRACK: LANGUAGES & LITERATURE",,,,,
MUTHIGA GIRLS,KIAMBU,GIRLS,BOARDING,C2,REGULAR
ST. PAUL TOMBE TECH,NYAMIRA,MIXED,DAY,C4,REGULAR
EBUKHAYA SEC,VIHIGA,MIXED,DAY,C4,REGULAR
CHEMANER SECONDARY SCHOOL,NAKURU,MIXED,DAY,C4,REGULAR
SOSIO SEC,NAROK,MIXED,BOARDING,C3,REGULAR
NTURUBA SECONDARY SCHOOL,MERU,MIXED,DAY,C4,REGULAR
KINENI PEFA,KISII,MIXED,DAY,C4,REGULAR
LELGEL MIXED DAY SECONDARY,BARINGO,MIXED,DAY,C4,REGULAR
MALIERA BOYS,SIAYA,BOYS,BOARDING,C2,REGULAR
ST GERALD MAYUGE SECONDARY SCHOOL,KAKAMEGA,MIXED,DAY,C4,REGULAR
BIMAMU SEC,KAKAMEGA,GIRLS,BOARDING,C3,REGULAR
AIC LOKICHOGGIO MIXED,TURKANA,MIXED,BOARDING,C3,REGULAR
IRIA-INI GIRLS HIGH SCHOOL,NYERI,GIRLS,BOARDING,C3,REGULAR
ST GABRIEL MIRANGA BOYS,HOMA BAY,BOYS,BOARDING,C3,REGULAR
SAKA GIRLS SEC,GARISSA,GIRLS,BOARDING,C2,REGULAR
MOI UNIVERSITY SEC,TRANS NZOIA,MIXED,DAY,C4,REGULAR
WANYORORO SEC,NAKURU,MIXED,DAY,C4,REGULAR
ANJEGO MIXED,MIGORI,MIXED,BOARDING,C2,REGULAR
KATUTU GIRLS,KITUI,GIRLS,BOARDING,C3,REGULAR
GATANGA CCM,MURANG'A,GIRLS,BOARDING,C3,REGULAR
KILGORIS GIRLS,NAROK,GIRLS,BOARDING,C2,REGULAR
OLOIRIEN BOYS SECONDARY SCHOOL,NAROK,BOYS,BOARDING,C3,REGULAR
LAMBWE SEC,HOMA BAY,MIXED,BOARDING,C3,REGULAR
NTUENE,MERU,MIXED,BOARDING,C3,REGULAR
ST. MICHAEL PTOYO BOYS SECONDARY,WEST POKOT,BOYS,DAY,C4,REGULAR
ST. PAUL BOYS MARAGUA,MURANG'A,BOYS,BOARDING,PR,REGULAR
GEDE MIXED SECONDARY SCHOOL,KILIFI,MIXED,DAY,C4,REGULAR
KUGITURA MIXED SECONDARY,MIGORI,MIXED,DAY,C4,REGULAR
MWONGORI SEC,NYAMIRA,MIXED,BOARDING,C2,REGULAR
CHESAMISI BOYS,BUNGOMA,BOYS,BOARDING,C2,REGULAR
FR. OKODOI,BUSIA,MIXED,DAY,C4,REGULAR
KIANGUNGI SEC,EMBU,MIXED,BOARDING,C3,REGULAR
GARISSA HIGH,GARISSA,BOYS,BOARDING,C1,REGULAR
NYAKHOBI,BUSIA,MIXED,DAY,C4,REGULAR
