S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/ SNE/INTEGRATED,DISABILITY TYPE,ACCOMODATION TYPE,GENDER
757,WESTERN,BUNGOMA,KIMILILI,H922,36621122,FRIENDS KAMASIELO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
758,WESTERN,BUNGOMA,KIMILILI,VMZ9,36600004,FRIENDS KAMUSINGA,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
759,WESTERN,BUNGOMA,KIMILILI,SKCN,36621113,FRIENDS MIXED SECONDARY SCHOOL CHESAMISI,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
760,WESTERN,BUNGOMA,KIMILILI,TZGH,36621124,FRIENDS SCHOOL KIBUNDE SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
761,WESTERN,BUNGOMA,KIMILILI,2QGV,36621117,FRIENDS SECONDARY SCHOOL CHEBUKWABI,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
762,WESTERN,BUNGOMA,KIMILILI,3BR9,36621139,FRIENDS SECONDARY SCHOOL NAMBOANI,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
763,WESTERN,BUNGOMA,KIMILILI,9YKQ,36621138,KAMUKUYWA TOWNSHIP HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
764,WESTERN,BUNGOMA,KIMILILI,PMSE,36621102,KAMUSINDE BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
765,WESTERN,BUNGOMA,KIMILILI,RL27,36621109,KIBINGEI FRIENDS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
766,WESTERN,BUNGOMA,KIMILILI,Y45F,36621115,KIMIILILI FRIENDS GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
767,WESTERN,BUNGOMA,KIMILILI,RR93,36621133,LUKHOME BAPTIST SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
768,WESTERN,BUNGOMA,KIMILILI,2J2N,36621103,MAENI GIRLS' SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
769,WESTERN,BUNGOMA,KIMILILI,HRV6,36621119,MATILI FRIENDS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
770,WESTERN,BUNGOMA,KIMILILI,VJ73,36621108,"MOI GIRLS HIGH SCHOOL, KAMUSINGA",C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
771,WESTERN,BUNGOMA,KIMILILI,FYUB,36621112,NAMAWANGA BAHA'I SEC SCH,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
772,WESTERN,BUNGOMA,KIMILILI,34NQ,36621136,NEW HOPE MWANGALE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
773,WESTERN,BUNGOMA,KIMILILI,QXKV,36621128,S.A. LWANDA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
774,WESTERN,BUNGOMA,KIMILILI,U2GV,36621140,SALVATION ARMY NASIANDA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
775,WESTERN,BUNGOMA,KIMILILI,HPAK,36621114,SIKHENDU MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
776,WESTERN,BUNGOMA,KIMILILI,8V3X,36621107,ST EMMANUEL'S MIRURI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
777,WESTERN,BUNGOMA,KIMILILI,M265,36621120,ST JAMES ACK SECONDARY SCHOOL - MAPELA,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
778,WESTERN,BUNGOMA,KIMILILI,ATY3,36621129,ST. BRIGID'S SECONDARY SCHOOL- KITAYI,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
779,WESTERN,BUNGOMA,KIMILILI,SGFW,36621135,ST. ELIZABETH SECONDARY SCHOOL -SIBAKALA,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
780,WESTERN,BUNGOMA,KIMILILI,Z9LE,36621123,ST. JAN SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
781,WESTERN,BUNGOMA,KIMILILI,HPBK,36621127,ST. JOHN'S BUKO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
782,WESTERN,BUNGOMA,KIMILILI,46FN,36621121,ST. JOSEPH'S KAMUSINDE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
783,WESTERN,BUNGOMA,KIMILILI,QCT6,36621110,ST. LUKE'S BOYS' HIGH SCHOOL KIMILILI,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
784,WESTERN,BUNGOMA,KIMILILI,YUZX,36621105,ST. MARY'S SOSIO SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
785,WESTERN,BUNGOMA,KIMILILI,SMK8,36621104,ST. PETER'S NAKALIRA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
786,WESTERN,BUNGOMA,KIMILILI,E3PH,36621116,WAMALWA KIJANA FRIENDS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
787,WESTERN,BUNGOMA,KOPSIRO,87QM,36638301,CHELEBEI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
788,WESTERN,BUNGOMA,KOPSIRO,RSYV,36638312,CHEPKURKUR S. A. SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
789,WESTERN,BUNGOMA,KOPSIRO,6U8W,36638302,KAPKATENY A.C.K SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
790,WESTERN,BUNGOMA,KOPSIRO,2QDF,36638308,KEBEE S.A SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
791,WESTERN,BUNGOMA,KOPSIRO,JEFR,36638311,KUBURA S.A SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
792,WESTERN,BUNGOMA,KOPSIRO,YBAG,36638303,MASAEK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
793,WESTERN,BUNGOMA,KOPSIRO,WYHM,36638307,ST. JOHN'S CHEPYUK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
794,WESTERN,BUNGOMA,KOPSIRO,F2KF,36638309,ST. JUDE KAIMUGUL MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
795,WESTERN,BUNGOMA,KOPSIRO,5DHS,36638310,ST. PETERS CHEPTONON SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
796,WESTERN,BUNGOMA,KOPSIRO,KBA8,36638305,ST. TERESA'S GIRLS - CHEPTOROR,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
797,WESTERN,BUNGOMA,KOPSIRO,XG9E,36638304,TEREM S A SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
798,WESTERN,BUNGOMA,MT. ELGON,2YKQ,36605118,AIC BUGAA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
799,WESTERN,BUNGOMA,MT. ELGON,SSJA,36605106,BISHOP OKIRING KAMUNERU A.C.K SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
800,WESTERN,BUNGOMA,MT. ELGON,UJQH,36605107,CHEMOGE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
801,WESTERN,BUNGOMA,MT. ELGON,MMPV,36605114,CHEMWEISUS S.A SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
802,WESTERN,BUNGOMA,MT. ELGON,5SFB,36605119,CHEPKARAI PAG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
803,WESTERN,BUNGOMA,MT. ELGON,6RSR,36605111,CHESITO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
804,WESTERN,BUNGOMA,MT. ELGON,XFCN,36605115,FRIENDS KABOROM SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
805,WESTERN,BUNGOMA,MT. ELGON,U3RR,36605105,FRIENDS MOI HIGH SCHOOL-KAPTAMA,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
806,WESTERN,BUNGOMA,MT. ELGON,YKLS,36605113,FRIENDS MOI KAPTAMA GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
807,WESTERN,BUNGOMA,MT. ELGON,EWPP,36605112,FRIENDS SCHOOL KABOYWO,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
808,WESTERN,BUNGOMA,MT. ELGON,VZ2C,36605101,KAPSOKWONY HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
809,WESTERN,BUNGOMA,MT. ELGON,EJFX,36605116,KAPTALELIO GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
810,WESTERN,BUNGOMA,MT. ELGON,5XQV,36605102,KAPTOLA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
811,WESTERN,BUNGOMA,MT. ELGON,ZB58,36605103,KIBUK GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
812,WESTERN,BUNGOMA,MT. ELGON,49W5,36605104,KIMOBO SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
813,WESTERN,BUNGOMA,MT. ELGON,N8UA,36605110,KONGIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
814,WESTERN,BUNGOMA,MT. ELGON,TMQU,36605108,SENDERA S.A SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
815,WESTERN,BUNGOMA,MT. ELGON,J4KF,36605109,ST. MARKS KIPCHIRIA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
816,WESTERN,BUNGOMA,MT. ELGON,3NAJ,36605117,ST.AUGUSTINE NOMORIO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
817,WESTERN,BUNGOMA,TONGAREN,GGX5,36636007,A.I.C JAMES MWEI SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
818,WESTERN,BUNGOMA,TONGAREN,DR9T,36636015,BIRUNDA PAG SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
819,WESTERN,BUNGOMA,TONGAREN,KBER,36636008,BISHOP ATUNDO GIRLS SEC SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
820,WESTERN,BUNGOMA,TONGAREN,J3MR,36636001,BISHOP PHILIP ANYOLO SEC - KAKAMWE,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
821,WESTERN,BUNGOMA,TONGAREN,THUN,36636013,BUNAMBO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
822,WESTERN,BUNGOMA,TONGAREN,M49Y,36636020,FRIENDS KIMININI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
823,WESTERN,BUNGOMA,TONGAREN,Y5HB,36636014,LUKHUNA FRIENDS MIXED SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
824,WESTERN,BUNGOMA,TONGAREN,74HA,36636024,MAKOLOLWE PAG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
825,WESTERN,BUNGOMA,TONGAREN,JJ2W,36636021,MANYASA FRIENDS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
826,WESTERN,BUNGOMA,TONGAREN,JT6X,36636022,MILELE FRIENDS SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
827,WESTERN,BUNGOMA,TONGAREN,KQ55,36636016,MILIMANI S.A SEC SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
828,WESTERN,BUNGOMA,TONGAREN,K4K8,36636010,MITUA GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
829,WESTERN,BUNGOMA,TONGAREN,T4J3,36636003,MULIRO FRIENDS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
830,WESTERN,BUNGOMA,TONGAREN,Y296,36636004,NAMUNYIRI RCEA GIRLS SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
831,WESTERN,BUNGOMA,TONGAREN,ZR6J,36636017,NYANGE PAG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
832,WESTERN,BUNGOMA,TONGAREN,E97G,36636023,ST. ANNE'S SIANGALAMWE SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
833,WESTERN,BUNGOMA,TONGAREN,GXNA,36636002,ST. AUGUSTINE GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
834,WESTERN,BUNGOMA,TONGAREN,L2B9,36636011,ST. JOSEPH'S BINYENYA SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
835,WESTERN,BUNGOMA,TONGAREN,B2MP,36636012,ST. JULIANA NARATI SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
836,WESTERN,BUNGOMA,TONGAREN,Y2KF,36636018,ST. MARY'S MWIKHUPO SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
837,WESTERN,BUNGOMA,TONGAREN,4QV8,36636005,ST.PAULS NARATI BOYS SECONDARY,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
838,WESTERN,BUNGOMA,TONGAREN,HH6T,36636009,ST.PETER'S NDALU SECONDARY,C3,PUBLIC,REGULAR,NONE,BOARDING,MIXED
839,WESTERN,BUNGOMA,TONGAREN,CRL5,36636006,TABANI FRIENDS SECONDARY,C3,PUBLIC,REGULAR,NONE,BOARDING,MIXED
840,WESTERN,BUNGOMA,TONGAREN,FC8Q,36636019,TONGAREN D.E.B SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,MIXED
841,WESTERN,BUNGOMA,WEBUYE WEST,WKX9,36635022,SIRISIA BOK SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
842,WESTERN,BUNGOMA,WEBUYE WEST,Z6FX,36635029,BRENDA FRIEND'S GIRLS' SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
843,WESTERN,BUNGOMA,WEBUYE WEST,DZJM,36635034,BUNANG'ENI FRIENDS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
844,WESTERN,BUNGOMA,WEBUYE WEST,BFGT,36635028,BUNJOSI FRIENDS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
845,WESTERN,BUNGOMA,WEBUYE WEST,4CDE,36635003,CHEBOSI S.A. SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
846,WESTERN,BUNGOMA,WEBUYE WEST,7SFP,36635021,FRIENDS SECONDARY SCHOOL KUYWA,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
847,WESTERN,BUNGOMA,WEBUYE WEST,Y3S6,36635026,FRIENDS LUGULU MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
848,WESTERN,BUNGOMA,WEBUYE WEST,5XAU,36635002,FRIENDS SCHOOL BOKOLI,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
849,WESTERN,BUNGOMA,WEBUYE WEST,QKWK,36635032,FRIENDS SECONDARY SCHOOL - KHALUMULI,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
850,WESTERN,BUNGOMA,WEBUYE WEST,2C52,36635025,FRIENDS SECONDARY SCHOOL NAMBAMI,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
851,WESTERN,BUNGOMA,WEBUYE WEST,3SPJ,36635015,FRIENDS SECONDARY SCHOOL MALAHA,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
852,WESTERN,BUNGOMA,WEBUYE WEST,VMFD,36635004,FRIENDS SECONDARY SCHOOL MILANI,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
853,WESTERN,BUNGOMA,WEBUYE WEST,J5E9,36635031,FRIENDS SECONDARY SCHOOL-YALUSI,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
854,WESTERN,BUNGOMA,WEBUYE WEST,7A6M,36635008,KITUNI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
855,WESTERN,BUNGOMA,WEBUYE WEST,GV53,36600002,LUGULU GIRLS,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
856,WESTERN,BUNGOMA,WEBUYE WEST,Z8LZ,36635018,LUMONYA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
857,WESTERN,BUNGOMA,WEBUYE WEST,FJNL,36635013,MAHANGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
858,WESTERN,BUNGOMA,WEBUYE WEST,2CZY,36635014,MANG'ANA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
859,WESTERN,BUNGOMA,WEBUYE WEST,Z7NT,36635011,MATULO FRIENDS GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
860,WESTERN,BUNGOMA,WEBUYE WEST,U6RY,36635023,MICHAEL WAMALWA FRIENDS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
861,WESTERN,BUNGOMA,WEBUYE WEST,8J67,36635016,MIENDO FRIENDS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
862,WESTERN,BUNGOMA,WEBUYE WEST,7APS,36635010,MILO FRIENDS BOYS' HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
863,WESTERN,BUNGOMA,WEBUYE WEST,WLYM,36635035,MILO FRIENDS GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
864,WESTERN,BUNGOMA,WEBUYE WEST,T5SA,36635005,MISIKHU FRIENDS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
865,WESTERN,BUNGOMA,WEBUYE WEST,RK6E,36635020,MISIKHU R.C HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
866,WESTERN,BUNGOMA,WEBUYE WEST,6XXX,36635036,MOYOKWE S.A SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
867,WESTERN,BUNGOMA,WEBUYE WEST,82NL,36635006,NAMAWANGA GIRLS,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
868,WESTERN,BUNGOMA,WEBUYE WEST,B3VB,36635019,NGWELO FRIENDS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
869,WESTERN,BUNGOMA,WEBUYE WEST,H26B,36635033,S.A CHEBOSI GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
870,WESTERN,BUNGOMA,WEBUYE WEST,9D3R,36635007,SIRENDE SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
871,WESTERN,BUNGOMA,WEBUYE WEST,HLMS,36635009,SITIKHO FRIENDS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
872,WESTERN,BUNGOMA,WEBUYE WEST,FBLA,36635030,ST ANNE'S MALOHO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
873,WESTERN,BUNGOMA,WEBUYE WEST,SKBR,36635017,ST MARYS BOKOLI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
874,WESTERN,BUNGOMA,WEBUYE WEST,X8BR,36635027,ST.ANDREWS MATULO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
875,WESTERN,BUNGOMA,WEBUYE WEST,JK2X,36635024,WEBUYE D.E.B. SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
876,WESTERN,BUSIA,BUNYALA,XHU3,35610110,A.C.K. MUSOMA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
877,WESTERN,BUSIA,BUNYALA,TPSY,35610109,BUKOMA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
878,WESTERN,BUSIA,BUNYALA,D9KW,35610108,BUNYALA MODEL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
879,WESTERN,BUSIA,BUNYALA,4QT4,35610102,JOHN OSOGO SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
880,WESTERN,BUSIA,BUNYALA,2WWN,35610104,MAKUNDA MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
881,WESTERN,BUSIA,BUNYALA,6LLJ,35610105,OSIEKO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
882,WESTERN,BUSIA,BUNYALA,52NR,35610012,PETTER HABENGA OKONDO SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
883,WESTERN,BUSIA,BUNYALA,JCQS,35610106,ST ANNE'S BUNYALA GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
884,WESTERN,BUSIA,BUNYALA,UKK7,35610113,ST. MARY'S NAMABUSI SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
885,WESTERN,BUSIA,BUNYALA,MCPK,35610107,ST. TRIZA MUNDERE GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,HYBRID,GIRLS
886,WESTERN,BUSIA,BUNYALA,DJGY,35610101,ST.BENEDICT'S HIGH SCHOOL -BUDALANGI,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
887,WESTERN,BUSIA,BUNYALA,ZWJQ,35610103,ST.CECILIA NAMENYA GIRLS SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
888,WESTERN,BUSIA,BUNYALA,Z9BG,35610111,ST.MICHAEL SISENYE MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
889,WESTERN,BUSIA,BUSIA,Z4BU,35601211,ALUNG'OLI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
