"COMPUTER STUDIES,GEOGRAPHY,ISLAMIC RELIGIOUS EDUCATION. CODE: SS2033 | TRACK: HUMANITIES & BUSINESS STUDIES",,,,,
CHANGAMWE GIRLS SECONDARY,MOMBASA,GIRLS,DAY,C4,REGULAR
KATANA NGALA,KILIFI,MIXED,DAY,C4,REGULAR
SARMAN MIXED BOARDING & DAY SECONDARY SCHOOLSCH,WAJIR,MIXED,BOARDING,C3,REGULAR
MANYATTA JILLO MIXED,MARSABIT,MIXED,DAY,C4,REGULAR
BOYSTOWN SECONDARY,GARISSA,BOYS,DAY,C4,REGULAR
MNYENZENI,KWALE,MIXED,BOARDING,C3,REGULAR
MOI GIRLS SECONDARY SCHOOL,MANDERA,GIRLS,BOARDING,C1,REGULAR
RATANG'A SECONDARY SCHOOL,HOMA BAY,BOYS,BOARDING,C2,REGULAR
KINONDO SEC,KWALE,MIXED,DAY,C4,REGULAR
CONSOLATA GIRLS GITARAKA,EMBU,GIRLS,BOARDING,C3,REGULAR
ELDAS GIRLS SECONDARY SCHOOL,WAJIR,GIRLS,DAY,C4,REGULAR
COUNTY HIGH,GARISSA,BOYS,BOARDING,C2,REGULAR
CHANG'OMBE,KILIFI,MIXED,DAY,C4,REGULAR
KAIKOR BOYS SECONDARY SCHOOL,TURKANA,BOYS,DAY,C4,REGULAR
STAREHE BOYS CENTRE,NAIROBI,BOYS,BOARDING,C1,REGULAR
EMWIRU MIXED,KAKAMEGA,MIXED,DAY,C4,REGULAR
MASABA MIXED SEC,KAKAMEGA,MIXED,DAY,C4,REGULAR
KILALAI SEC,MERU,MIXED,DAY,C4,REGULAR
NAMAGARA,KAKAMEGA,MIXED,DAY,C4,REGULAR
MTEPENI SEC SCH,KILIFI,MIXED,DAY,C4,REGULAR
SHIMBA HILLS,KWALE,MIXED,BOARDING,C2,REGULAR
CENTRAL ELDORET,UASIN GISHU,MIXED,DAY,C4,REGULAR
TAWAKAL MIXED DAY SECONDARY,MANDERA,MIXED,DAY,C4,REGULAR
MWANGAZA GIRLS DAY,ISIOLO,GIRLS,DAY,C4,REGULAR
MAKANDE GIRLS,MOMBASA,GIRLS,DAY,C4,REGULAR
IJARA SEC,GARISSA,MIXED,DAY,C4,REGULAR
BULESA DAY SEC,ISIOLO,MIXED,BOARDING,C3,REGULAR
KIPTEWIT GIRLS,KERICHO,GIRLS,BOARDING,C2,REGULAR
KAGURIA MIXED,HOMA BAY,MIXED,DAY,C4,REGULAR
NGALA MEMORIAL,KILIFI,GIRLS,BOARDING,C2,INTERGRATED
